couples,interactions
"King Claudius, Laertes",0
"Osric, Second Clown",0
"Ghost, King Fortinbras",0
"First Clown, Voltimand",0
"Cornelius, Marcellus",0
"Lords, Rosencrantz",0
"First Sailor, Ophelia",0
"Bernardo, Player Queen",0
"Attendants, Gentlemen",0
"Gentlemen, Servant",0
"Cornelius, Servant",0
"Horatio, Ophelia",0
"First Player, Gentlemen",0
"First Ambassador, Laertes",0
"Captain, Marcellus",0
"Gentlemen, Players",0
"Cornelius, Players",0
"Laertes, Voltimand",0
"Guildenstern, Horatio",0
"Bernardo, Rosencrantz",0
"A Lord, Osric",0
"Hamlet, Osric",0
"Ghost, King Claudius",0
"Polonius, Prince Fortinbras",0
"Polonius, Queen Gertrude",0
"Second Clown, Voltimand",0
"Attendants, Second Clown",0
"A Lord, Fortinbras",0
"Guildenstern, Player Queen",0
"Attendants, Ophelia",0
"Captain, Players",0
"Players, Voltimand",0
"First Sailor, Guildenstern",0
"Ambassadors from Norway, Hamlet",0
"Priest, Queen Gertrude",0
"First Player, Ophelia",0
"First Ambassador, Horatio",0
"A Lord, Messenger",0
"First Clown, Hamlet",0
"Hamlet, Messenger",0
"A Lord, Bernardo",0
"A Lord, Reynaldo",0
"Hamlet, Reynaldo",0
"First Player, First Sailor",0
"Gentlemen, Prince Fortinbras",0
"Cornelius, Prince Fortinbras",0
"Cornelius, Queen Gertrude",0
"Osric, Voltimand",0
"First Sailor, Voltimand",0
"Gentlemen, Lords",0
"A Lord, First Clown",0
"Cornelius, Lords",0
"Bernardo, Francisco",0
"Guildenstern, Marcellus",0
"Gentlemen, Player King",0
"Lords, Queen Gertrude",0
"Captain, Prince Fortinbras",0
"Captain, Queen Gertrude",0
"King Claudius, Servant",0
"Ambassadors from Norway, Rosencrantz",0
"Messenger, Rosencrantz",0
"Ophelia, Servant",0
"First Player, Guildenstern",0
"First Clown, Rosencrantz",0
"Francisco, Messenger",0
